日期,地點,活動,評價
2024/02/15,東京,參觀淺草寺,很壯觀，雷門超美！
2024/02/15,東京,晚餐：壽喜燒,肉質鮮嫩，但價錢偏貴。
2024/02/16,富士山,登山＋拍照,風景超讚，但好冷！
2024/02/16,河口湖,溫泉體驗,泡湯後超放鬆！但人有點多，影響體驗。
2024/02/17,京都,伏見稻荷大社散步,千本鳥居很壯觀！但遊客太多，不好拍照。
2024/02/17,京都,抹茶甜點體驗,超濃郁，好幸福！
2024/02/18,大阪,逛心齋橋＋購物,好逛，戰利品滿滿！但人擠人，結帳等很久。
2024/02/18,大阪,道頓堀吃章魚燒,現烤章魚燒超讚！但排隊等了快一小時。
2024/02/19,奈良,餵鹿＋東大寺參觀,鹿超可愛但愛搶食，還咬壞了我的地圖！
2024/02/19,奈良,日本庭園賞櫻,氛圍悠閒，很美！
2024/02/20,北海道,滑雪體驗,初學者友善，超刺激！但裝備租借太貴。
2024/02/20,北海道,品嚐海鮮丼,新鮮度爆表！但醬汁太鹹，不太習慣。
2024/02/21,沖繩,浮潛＋賞珊瑚,海底世界好夢幻！但水溫有點冷。
2024/02/21,沖繩,夕陽海灘漫步,超浪漫的氛圍！
2024/02/22,福岡,參觀太宰府天滿宮,很有文化氣息！但商店街東西偏貴。
2024/02/22,福岡,拉麵一蘭總店,名不虛傳，超好吃！但等太久，而且座位擁擠。
2024/02/23,廣島,參觀原爆圓頂,歷史沉重但值得深思。
2024/02/23,廣島,宮島看鹿＋嚐美食,烤牡蠣好吃！但有些店家提早打烊，沒吃到想吃的。
2024/02/24,神戶,神戶牛排體驗,肉質超級嫩！但價格不親民，荷包大失血。
2024/02/24,神戶,港口夜景觀賞,夜景真的美翻！
2024/02/25,名古屋,名古屋城參觀,古色古香！但內部沒太多看點，稍微失望。
2024/02/25,名古屋,鰻魚飯名店品嚐,醬汁超讚！但份量偏少，沒吃飽。
